"ait-table-cell","ait-table-cell 2","ait-table-cell 3","ait-local-number","ait-space-item","ait-space-item 2","ait-local-number 2","ait-space-item 3","ait-space-item 4","ait-local-number 3","ait-space-item 5","ait-space-item 6","ait-local-number 4","ait-space-item 7","ait-space-item 8","ait-local-number 5","ait-space-item 9","ait-space-item 10","ait-space-item 11","ait-space-item 12","ait-space-item 15","ait-space-item 16"
"okulary przeciwsłoneczne z polaryzacja","polarized sunglasses","N","11,934.00","较前30日","0.00%","45,437.00","较前30日","0.00%","25.23%","较前30日","0.00%","1.48%","较前30日","0.00%","3.51","","","","","较前30日","0.00%"
"tents and sleeping gear","tents and sleeping gear","N","8,587.00","较前30日","0.00%","45,387.00","较前30日","0.00%","18.21%","较前30日","0.00%","0.03%","较前30日","0.00%","43.92","","","","","较前30日","0.00%"
"darts accessory","darts accessory","N","25.67%","较前30日","8.40%","1.23%","较前30日","23.00%","50.87","","","","较前30日","23.75%","","","","","","",""
"lunette soleil femme","Sunglass women","N","16,890.00","较前30日","0.00%","44,975.00","较前30日","0.00%","23.57%","较前30日","0.00%","0.94%","较前30日","0.00%","1.61","","","","","较前30日","0.00%"
"cuadro mtb 29","Mtb 29 frame","N","8,907.00","较前30日","0.00%","44,944.00","较前30日","0.00%","46.16%","较前30日","0.00%","0.03%","较前30日","0.00%","16.73","","","","","较前30日","0.00%"
"freio shimano mt200","shimano mt200 brake","N","18,913.00","较前30日","0.76%","44,801.00","较前30日","3.21%","39.68%","较前30日","-0.90%","2.40","较前30日","5.18%","","","","","","",""
"putter","putter","N","6,984.00","较前30日","23.33%","44,735.00","较前30日","23.05%","31.26%","较前30日","-5.56%","0.16%","较前30日","-6.33%","37.10","较前30日","-11.11%","","","",""
"공구박스","Tool box","N","11,402.00","较前30日","0.00%","44,649.00","较前30日","0.00%","17.19%","较前30日","0.00%","0.21%","较前30日","0.00%","2.07","","","","","较前30日","0.00%"
"кемпинг","Camping","Y","5,792.00","较前30日","12.31%","44,583.00","较前30日","10.33%","41.02%","较前30日","0.74%","0.22%","较前30日","0.91%","57.43","较前30日","10.00%","","","",""
"말본골프","Malbon golf","N","14,573.00","较前30日","0.00%","44,544.00","较前30日","0.00%","23.04%","较前30日","0.00%","0.21%","较前30日","0.00%","2.34","","","","","较前30日","0.00%"
"padel accessories","padel accessories","N","6,264.00","较前30日","2.71%","44,537.00","较前30日","2.77%","24.97%","较前30日","-8.66%","0.65%","较前30日","-10.96%","42.21","较前30日","-7.68%","","","",""
"archery","archery","Y","4,705.00","较前30日","1.21%","44,405.00","较前30日","-18.92%","24.74%","较前30日","-4.62%","0.30%","较前30日","-4.03%","101.11","较前30日","-2.81%","","","",""
"fishing reels","fishing reels","N","7,541.00","较前30日","0.00%","44,393.00","较前30日","0.00%","23.16%","较前30日","0.00%","0.43%","较前30日","0.00%","45.23","","","","","较前30日","0.00%"
"골프티","Golf tee","N","7,159.00","较前30日","0.00%","44,350.00","较前30日","0.00%","18.68%","较前30日","0.00%","0.95%","较前30日","0.00%","11.04","","","","","较前30日","0.00%"
"torque wrench","torque wrench","N","14,657.00","较前30日","3.19%","44,342.00","较前30日","4.05%","31.67%","","","0.60%","较前30日","3.43%","3.78","较前30日","1.92%","","","较前30日","0.00%"
"tsurinoya","tsurinoya","Y","11,635.00","较前30日","1.78%","44,276.00","较前30日","4.69%","41.06%","较前30日","-1.30%","0.89%","较前30日","2.09%","27.92","较前30日","-7.29%","","","",""
"fishing rods","fishing rods","N","44,253.00","较前30日","18.91%","19.04%","","","47.46","较前30日","-19.83%","","","","8,426.00","较前30日","-6.28%","较前30日","30.23%","",""
"ski goggles","ski goggles","N","34.32%","较前30日","1.39%","1.02%","较前30日","4.56%","19.38","较前30日","-17.07%","","","","","","","","","",""
"trekking","trekking","Y","5,412.00","较前30日","8.48%","44,230.00","较前30日","-28.57%","23.28%","较前30日","-7.11%","0.15%","较前30日","-1.61%","59.48","较前30日","-1.70%","","","",""
"igt캠핑테이블","igt camping table","N","8,568.00","较前30日","0.00%","44,214.00","较前30日","0.00%","37.07%","较前30日","0.00%","0.32%","较前30日","0.00%","9.50","","","","","较前30日","0.00%"
"mochila de pesca","Fishing backpack","N","9,435.00","较前30日","3.94%","44,203.00","较前30日","2.04%","32.70%","较前30日","-3.97%","0.50%","较前30日","4.96%","18.02","较前30日","-4.54%","","","",""
"gafas de sol hombre","Sunglasses man","N","11,758.00","较前30日","0.00%","44,152.00","较前30日","0.00%","23.16%","较前30日","0.00%","1.03%","较前30日","0.00%","5.37","","","","","较前30日","0.00%"
"plate carrier","plate carrier","N","7,308.00","较前30日","6.25%","44,152.00","较前30日","-21.05%","36.93%","较前30日","-6.86%","0.17%","较前30日","-7.95%","32.87","较前30日","-14.25%","","","",""
"inflador neumáticos portátil","portable tire inflator","N","16,601.00","较前30日","23.09%","44,141.00","较前30日","21.51%","22.43%","较前30日","-0.40%","0.83%","较前30日","5.04%","3.68","较前30日","-6.74%","","","",""
"hiking backpack","hiking backpack","N","7,716.00","较前30日","0.00%","44,137.00","较前30日","0.00%","32.78%","较前30日","0.00%","0.30%","较前30日","0.00%","38.60","","","","","较前30日","0.00%"
"revolver","Revolver","Y","11,386.00","较前30日","15.76%","44,133.00","较前30日","21.23%","19.55%","较前30日","-2.30%","14.76","较前30日","6.32%","0.29%","","","较前30日","123.08%","",""
"camping gear","camping gear","N","4,599.00","较前30日","0.00%","44,079.00","较前30日","0.00%","22.78%","较前30日","0.00%","0.23%","较前30日","0.00%","91.33","","","","","较前30日","0.00%"
"ロードバイク","road bike","N","11,371.00","","","44,036.00","较前30日","-3.82%","31.84%","较前30日","-3.13%","0.02%","较前30日","-7.50%","10.39","较前30日","-0.10%","","","较前30日","0.00%"
"cubo barulhento","noisy cube","N","15,153.00","较前30日","15.61%","43,989.00","","","40.88%","较前30日","-2.47%","3.11","较前30日","-10.56%","0.27%","较前30日","-6.55%","较前30日","145.45%","",""
"bicicletas de montaña","Mountain bikes","N","10,854.00","较前30日","6.30%","43,966.00","较前30日","11.48%","30.46%","较前30日","-1.68%","22.68","","","","较前30日","-0.77%","","","",""
"golf cart","golf cart","N","10,915.00","较前30日","0.00%","43,927.00","较前30日","0.00%","35.62%","较前30日","0.00%","0.05%","较前30日","0.00%","17.68","","","","","较前30日","0.00%"
"dualtron","dualtron","Y","11,168.00","较前30日","18.18%","43,857.00","较前30日","18.84%","30.23%","较前30日","-0.30%","24.10","","","","较前30日","-3.23%","","","",""
"travel essentials","travel essentials","Y","11,758.00","较前30日","-12.09%","43,776.00","较前30日","-11.36%","14.39%","较前30日","-8.85%","0.39%","较前30日","-7.04%","4.15","较前30日","-10.20%","","","",""
"sapatilha mtb masculino","Mtb sneaker male","N","8,632.00","较前30日","1.21%","43,714.00","较前30日","8.83%","38.46%","较前30日","-2.39%","0.48%","较前30日","4.87%","11.42","较前30日","-28.36%","","","",""
"mesa plegable","Folding table","N","13,322.00","较前30日","2.42%","43,690.00","较前30日","0.51%","25.40%","较前30日","-3.39%","0.25%","较前30日","0.42%","4.78","较前30日","-10.71%","","","",""
"e scooter accessories","e scooter accessories","N","5,343.00","较前30日","0.00%","43,655.00","较前30日","0.00%","24.23%","较前30日","0.00%","0.44%","较前30日","0.00%","57.55","","","","","较前30日","0.00%"
"dildo","dildo","N","21,066.00","较前30日","11.77%","43,624.00","较前30日","13.82%","12.38%","较前30日","0.50%","0.22%","较前30日","13.79%","1.73","较前30日","10.00%","","","",""
"hoverboard","hoverboard","Y","13,790.00","较前30日","12.90%","43,551.00","较前30日","1.86%","22.85%","较前30日","-17.76%","14.71","","","0.26%","较前30日","-16.95%","较前30日","225.00%","",""
"artículos de pesca","Fishing items","N","4,538.00","较前30日","0.00%","43,527.00","较前30日","0.00%","23.57%","较前30日","0.00%","0.61%","较前30日","0.00%","80.05","","","","","较前30日","0.00%"
"camping chair","camping chair","N","7,819.00","较前30日","7.14%","43,473.00","较前30日","6.28%","27.00%","较前30日","-8.61%","29.89","","","0.41%","较前30日","-5.15%","较前30日","64.00%","",""
"ski masks","ski masks","N","14,028.00","较前30日","5.33%","43,392.00","较前30日","17.12%","23.12%","较前30日","-5.34%","1.71%","较前30日","-18.44%","4.35","较前30日","-6.93%","","","",""
"volleyball","volleyball","N","9,408.00","较前30日","15.69%","43,298.00","较前30日","13.30%","19.69%","较前30日","-9.87%","30.00","较前30日","8.66%","0.65%","","","较前30日","85.71%","",""
"puños bicicleta mtb","Bicycle handles mtb","N","9,829.00","较前30日","0.00%","43,287.00","较前30日","0.00%","35.93%","较前30日","0.00%","1.70%","较前30日","0.00%","17.69","","","","","较前30日","0.00%"
"travel bag","travel bag","N","14,792.00","较前30日","17.00%","43,221.00","较前30日","16.53%","19.72%","较前30日","-1.94%","0.28%","较前30日","21.74%","6.13","较前30日","-13.18%","","","",""
"침대","Bed","N","10,215.00","较前30日","0.00%","43,205.00","较前30日","0.00%","23.77%","较前30日","0.00%","0.08%","较前30日","0.00%","2.70","","","","","较前30日","0.00%"
"карабин","Carabiner","N","14,773.00","较前30日","4.15%","43,194.00","较前30日","16.07%","53.67%","较前30日","-3.29%","1.95%","较前30日","5.57%","10.21","较前30日","-4.36%","","","",""
"коврик для йоги","Yoga mat","N","12,823.00","较前30日","3.84%","43,128.00","","","50.53%","较前30日","-9.72%","14.29","较前30日","-2.17%","0.37%","较前30日","-3.24%","较前30日","32.14%","",""
"아이언커버","Iron cover","N","5,412.00","较前30日","0.00%","43,089.00","较前30日","0.00%","19.78%","较前30日","0.00%","0.57%","较前30日","0.00%","18.98","","","","","较前30日","0.00%"
"rhino rescue","rhino rescue","Y","8,083.00","较前30日","2.12%","42,957.00","较前30日","25.00%","33.63%","较前30日","-1.64%","1.00%","较前30日","-9.01%","14.44","较前30日","-9.26%","","","",""
"ukulele","ukulele","Y","9,561.00","较前30日","16.13%","42,891.00","较前30日","10.44%","31.68%","较前30日","-18.63%","0.36%","较前30日","-8.65%","34.17","较前30日","-17.41%","","","",""
"tactical accessoires","tactical accessories","N","22.65%","较前30日","1.86%","0.39%","","","88.24","较前30日","-4.91%","","","","","较前30日","-7.14%","","","",""
"ifak","ifak","Y","8,396.00","较前30日","3.50%","42,759.00","较前30日","28.57%","32.50%","较前30日","-2.61%","0.63%","较前30日","-6.76%","17.81","较前30日","-0.66%","","","",""
"pilates equipment","pilates equipment","N","9,274.00","较前30日","3.45%","42,674.00","较前30日","6.07%","27.28%","较前30日","-23.85%","31.71","","","0.69%","较前30日","-22.52%","较前30日","43.75%","",""
"sleeping bag","sleeping bag","N","9,534.00","较前30日","10.05%","42,600.00","","","32.53%","较前30日","-13.17%","22.54","较前30日","-7.74%","0.51%","较前30日","-14.26%","较前30日","88.89%","",""
"타로카드","Tarot card","N","5,199.00","较前30日","0.00%","42,507.00","较前30日","0.00%","32.50%","较前30日","0.00%","0.66%","较前30日","0.00%","20.07","","","","","较前30日","0.00%"
"제로토크 퍼터","zero torque putter","N","8,163.00","较前30日","0.00%","42,503.00","较前30日","0.00%","29.50%","较前30日","0.00%","0.30%","较前30日","0.00%","8.46","","","","","较前30日","0.00%"
"molinete","Windlass","N","9,959.00","较前30日","1.92%","42,421.00","较前30日","0.15%","26.10%","较前30日","-4.55%","0.21%","较前30日","3.28%","10.72","较前30日","-8.48%","","","",""
"deportes","Sports","Y","16,682.00","较前30日","0.92%","42,383.00","","","10.97%","较前30日","-14.19%","3.84","较前30日","-5.21%","0.04%","较前30日","-11.93%","较前30日","100.00%","",""
"fishing equipments accessories","fishing equipments accessories","N","5,260.00","较前30日","0.00%","42,293.00","较前30日","0.00%","19.15%","较前30日","0.00%","0.51%","较前30日","0.00%","88.22","","","","","较前30日","0.00%"
"electric car","electric car","N","11,559.00","较前30日","1.58%","42,255.00","较前30日","4.96%","21.57%","较前30日","-4.85%","9.42","","","","较前30日","-15.83%","","","",""
"fish","fish","Y","12,570.00","较前30日","1.35%","42,162.00","较前30日","4.54%","12.98%","","","29.18","较前30日","10.09%","0.16%","较前30日","2.30%","较前30日","166.67%","",""
"кроссовки мужские","Men's sneakers","Y","44.60%","","","0.24%","","","1.11","较前30日","-9.64%","42,154.00","较前30日","-17.55%","22,631.00","较前30日","-4.00%","较前30日","54.65%","",""
"бутылка для воды","Water bottle","N","42,037.00","","","30.37%","","","","较前30日","-24.87%","3.73","","","0.66%","较前30日","-10.12%","较前30日","60.98%","",""
"varas de pesca","Rods fishing","N","9,550.00","较前30日","0.00%","42,010.00","较前30日","0.00%","29.90%","较前30日","0.00%","0.28%","较前30日","0.00%","12.38","","","","","较前30日","0.00%"
"colete tático","Tactical vest","N","8,801.00","较前30日","0.00%","42,010.00","较前30日","0.00%","27.88%","较前30日","0.00%","0.09%","较前30日","0.00%","9.95","","","","","较前30日","0.00%"
"guidão voador","flying handlebar","N","41,999.00","较前30日","29.10%","17.25%","","","6.46","较前30日","-6.96%","0.04%","","","13,633.00","较前30日","-17.99%","较前30日","37.06%","",""
"skate","Skate","Y","11,647.00","较前30日","4.29%","41,979.00","较前30日","2.58%","22.62%","较前30日","-6.80%","15.05","","","","较前30日","-5.08%","","","",""
"conjuntos femininos","Women's suits","N","10.00%","较前30日","5.82%","0.02%","","","0.92","较前30日","-3.29%","41,940.00","","","19,263.00","","","较前30日","37.02%","较前30日","0.00%"
"bicicleta eléctrica para adultos","electric bicycle for adults","N","8,170.00","较前30日","0.00%","41,937.00","较前30日","0.00%","31.01%","较前30日","0.00%","0.10%","较前30日","0.00%","22.61","","","","","较前30日","0.00%"
"acoustic guitar","acoustic guitar","N","4,675.00","较前30日","0.00%","41,886.00","较前30日","0.00%","29.91%","较前30日","0.00%","0.03%","较前30日","0.00%","62.81","","","","","较前30日","0.00%"
"gafas de ciclismo hombre","Men's cycling glasses","N","8,843.00","较前30日","5.61%","41,832.00","较前30日","2.10%","31.65%","较前30日","-1.71%","1.15%","较前30日","4.94%","22.62","较前30日","-13.47%","","","",""
"playing cards","playing cards","Y","7,514.00","较前30日","-8.70%","41,828.00","较前30日","-6.67%","29.94%","较前30日","-11.27%","0.84%","较前30日","-0.86%","19.12","较前30日","-10.19%","","","",""
"riflescope","riflescope","Y","6,222.00","较前30日","0.00%","41,770.00","较前30日","0.00%","33.93%","较前30日","0.00%","0.35%","较前30日","0.00%","53.83","","","","","较前30日","0.00%"
"웨건","Wagon","N","9,718.00","较前30日","0.00%","41,723.00","较前30日","0.00%","33.30%","较前30日","0.00%","0.61%","较前30日","0.00%","2.92","","","","","较前30日","0.00%"
"oculos","Eyewear","Y","14,416.00","较前30日","1.54%","41,556.00","较前30日","9.15%","19.80%","较前30日","-3.63%","0.44%","较前30日","-8.79%","2.91","较前30日","-4.35%","","","",""
"accessori bici","Bike accessories","N","5,496.00","较前30日","0.00%","41,483.00","较前30日","0.00%","20.00%","较前30日","0.00%","0.27%","较前30日","0.00%","41.46","","","","","较前30日","0.00%"
"banco funsea","funsea bank","N","15,775.00","较前30日","20.60%","41,475.00","较前30日","24.38%","38.27%","较前30日","-22.71%","0.58%","较前30日","4.16%","2.66","较前30日","28.89%","","","",""
"riñonera","Waist pack","N","10,862.00","较前30日","0.00%","41,467.00","较前30日","0.00%","23.74%","较前30日","0.00%","0.55%","较前30日","0.00%","6.80","","","","","较前30日","0.00%"
"دراجة كهربائية","Electric bicycle","N","13,475.00","较前30日","0.00%","41,448.00","较前30日","0.00%","21.46%","较前30日","0.00%","0.05%","较前30日","0.00%","14.51","","","","","较前30日","0.00%"
"rockbros ciclismo","rockbros cycling","N","6,725.00","较前30日","0.38%","41,359.00","较前30日","1.74%","28.02%","较前30日","-1.29%","0.23%","较前30日","-6.09%","42.60","较前30日","-25.81%","","","",""
"العاب","Games","N","10,563.00","","","41,347.00","较前30日","-18.29%","11.91%","较前30日","-4.60%","4.30","较前30日","-5.78%","0.11%","较前30日","-9.28%","较前30日","120.00%","",""
"mancuernas ajustables","Adjustable dumbbells","N","9,920.00","较前30日","0.00%","41,199.00","较前30日","0.00%","42.61%","较前30日","0.00%","0.57%","较前30日","0.00%","10.16","","","","","较前30日","0.00%"
"archery equipment","archery equipment","N","5,340.00","较前30日","0.00%","41,196.00","较前30日","0.00%","26.25%","较前30日","0.00%","0.61%","较前30日","0.00%","81.83","","","","","较前30日","0.00%"
"table","table","N","14,638.00","较前30日","11.11%","41,184.00","较前30日","1.69%","15.10%","较前30日","-3.72%","5.91","","","0.10%","较前30日","-0.37%","较前30日","42.86%","",""
"chaquetas para hombre","Men jackets","N","13,997.00","较前30日","0.41%","41,180.00","较前30日","14.80%","24.58%","较前30日","-27.63%","0.17%","较前30日","-22.73%","2.75","较前30日","-27.60%","","","",""
"mtb accesorios","mtb accessories","N","4,758.00","较前30日","3.71%","41,126.00","较前30日","-2.83%","22.33%","较前30日","-1.10%","0.25%","较前30日","-24.24%","66.77","较前30日","-0.62%","","","",""
"culotte ciclismo hombre","Men cycling shorts","N","8,881.00","较前30日","0.00%","41,095.00","较前30日","0.00%","35.25%","较前30日","0.00%","0.91%","较前30日","0.00%","15.02","","","","","较前30日","0.00%"
"paintball and airsoft guns and gear","paintball and airsoft guns and gear","N","9,271.00","较前30日","0.00%","41,071.00","较前30日","0.00%","9.16%","较前30日","0.00%","0.02%","较前30日","0.00%","42.69","","","","","较前30日","0.00%"
"accesorios tácticos","tactical accessories","N","4,330.00","较前30日","2.80%","40,870.00","较前30日","11.08%","23.01%","较前30日","-1.96%","69.41","较前30日","10.40%","","","","","","",""
"guitar pedal","guitar pedal","N","6,912.00","较前30日","2.61%","40,843.00","","","23.28%","较前30日","-2.52%","49.12","较前30日","-9.31%","0.35%","较前30日","-3.11%","较前30日","34.62%","",""
"электрогитара","Electric guitar","N","10,789.00","","","40,730.00","较前30日","-4.54%","59.93%","较前30日","-9.01%","28.55","较前30日","-4.13%","0.03%","较前30日","-13.66%","较前30日","50.00%","",""
"red dot optics","red dot optics","N","5,967.00","较前30日","0.00%","40,684.00","较前30日","0.00%","36.75%","较前30日","0.00%","0.55%","较前30日","0.00%","37.39","","","","","较前30日","0.00%"
"ebike for adults","ebike for adults","N","7,850.00","较前30日","0.00%","40,529.00","较前30日","0.00%","28.94%","较前30日","0.00%","0.17%","较前30日","0.00%","21.25","","","","","较前30日","0.00%"
"таро","Tarot","N","7,983.00","较前30日","16.00%","40,505.00","较前30日","-3.76%","53.75%","较前30日","-18.65%","0.29%","较前30日","-0.85%","11.03","较前30日","-11.72%","","","",""
"kingdom","kingdom","Y","9,179.00","较前30日","4.14%","40,486.00","较前30日","0.83%","37.99%","较前30日","-2.67%","38.38","","","1.65%","较前30日","-0.40%","较前30日","48.65%","",""
"guantes ciclismo hombre","Men's cycling gloves","N","7,945.00","较前30日","0.00%","40,432.00","较前30日","0.00%","33.09%","较前30日","0.00%","1.56%","较前30日","0.00%","26.76","","","","","较前30日","0.00%"
"suspensão aro 26","suspension rim 26","N","11,306.00","较前30日","0.00%","40,389.00","较前30日","0.00%","30.29%","较前30日","0.00%","0.00%","较前30日","0.00%","6.01","","","","","较前30日","0.00%"
"grill","grill","Y","10,644.00","较前30日","0.00%","40,350.00","较前30日","0.00%","13.52%","较前30日","0.00%","0.15%","较前30日","0.00%","5.09","","","","","较前30日","0.00%"
"bike bag","bike bag","N","7,404.00","较前30日","0.00%","40,338.00","较前30日","0.00%","29.92%","较前30日","0.00%","0.67%","较前30日","0.00%","43.47","","","","","较前30日","0.00%"
"backpack for man","backpack for man","N","8,724.00","较前30日","6.38%","40,327.00","较前30日","9.04%","21.66%","较前30日","-9.52%","0.42%","较前30日","27.27%","10.54","较前30日","2.30%","","","",""
"pegatinas para bicicleta","Bicycle stickers","N","6,767.00","较前30日","4.59%","40,327.00","较前30日","1.71%","24.54%","较前30日","-0.81%","24.91","","","0.74%","较前30日","-1.22%","较前30日","68.18%","",""
"grips","grips","Y","11,846.00","较前30日","0.00%","40,284.00","较前30日","0.00%","33.83%","较前30日","0.00%","2.22%","较前30日","0.00%","11.49","","","","","较前30日","0.00%"
"tenis","Sneakers","Y","22,253.00","","","40,284.00","较前30日","-8.45%","12.75%","较前30日","-16.07%","0.88","较前30日","-2.15%","0.07%","较前30日","-22.49%","较前30日","75.00%","",""
"darevie","darevie","Y","9,756.00","较前30日","0.00%","40,265.00","较前30日","0.00%","41.60%","较前30日","0.00%","1.79%","较前30日","0.00%","18.58","","","","","较前30日","0.00%"
"climbing","climbing","Y","5,343.00","较前30日","10.13%","40,067.00","较前30日","5.57%","23.92%","较前30日","-10.58%","75.69","","","0.46%","较前30日","-7.36%","较前30日","130.00%","",""
"jackets for man","jackets for man","N","20.49%","较前30日","6.08%","0.13%","","","4.49","较前30日","-3.07%","","","","","较前30日","-7.14%","","","",""
"침낭","Sleeping bag","N","9,225.00","较前30日","10.38%","39,951.00","较前30日","10.26%","29.68%","较前30日","-5.07%","0.86%","较前30日","-0.33%","7.38","较前30日","-5.97%","","","",""
"electric bikes for adults","electric bikes for adults","N","9,007.00","较前30日","0.00%","39,927.00","较前30日","0.00%","29.03%","较前30日","0.00%","0.18%","较前30日","0.00%","21.01","","","","","较前30日","0.00%"
"lazer","lazer","Y","13,191.00","较前30日","11.69%","39,912.00","较前30日","1.49%","27.32%","较前30日","-15.50%","8.89","","","0.92%","较前30日","-21.54%","较前30日","31.43%","",""
"carpfishing","carpfishing","N","3,852.00","较前30日","0.00%","39,904.00","较前30日","0.00%","19.93%","较前30日","0.00%","1.02%","较前30日","0.00%","96.24","","","","","较前30日","0.00%"
"카트","Cart","Y","9,741.00","较前30日","0.00%","39,792.00","较前30日","0.00%","22.29%","较前30日","0.00%","0.33%","较前30日","0.00%","2.34","","","","","较前30日","0.00%"
"couteax de poche","pocket knife","N","11,325.00","较前30日","15.49%","39,784.00","较前30日","11.53%","13.43%","较前30日","-9.79%","9.93","较前30日","0.22%","0.13%","","","较前30日","62.50%","",""
"elite wheels","elite wheels","N","16,724.00","较前30日","6.85%","39,780.00","较前30日","4.54%","49.32%","较前30日","-1.20%","8.65","","","","较前30日","-10.16%","","","",""
"electric e bike","electric e bike","N","7,846.00","较前30日","0.00%","39,780.00","较前30日","0.00%","34.62%","较前30日","0.00%","0.24%","较前30日","0.00%","28.12","","","","","较前30日","0.00%"
"риболовні товари","fishing goods","N","4,026.00","较前30日","0.00%","39,714.00","较前30日","0.00%","18.41%","较前30日","0.00%","0.16%","较前30日","0.00%","64.55","","","","","较前30日","0.00%"
"tents","tents","N","6,043.00","较前30日","0.00%","39,706.00","较前30日","0.00%","23.58%","较前30日","0.00%","0.04%","较前30日","0.00%","37.33","","","","","较前30日","0.00%"
"leurre de pêche","Fishing lure","N","6,234.00","较前30日","0.00%","39,606.00","较前30日","0.00%","29.64%","较前30日","0.00%","1.48%","较前30日","0.00%","43.61","","","","","较前30日","0.00%"
"네이처하이크","Nature hike","N","6,996.00","较前30日","0.00%","39,602.00","较前30日","0.00%","23.38%","较前30日","0.00%","0.26%","较前30日","0.00%","17.35","","","","","较前30日","0.00%"
"martial arts and combat sports gear","martial arts and combat sports gear","N","9,825.00","较前30日","0.00%","39,575.00","较前30日","0.00%","12.79%","较前30日","0.00%","0.03%","较前30日","0.00%","34.21","","","","","较前30日","0.00%"
"e scooter zubehör","E-scooter accessories","N","5,416.00","较前30日","0.00%","39,567.00","较前30日","0.00%","22.23%","较前30日","0.00%","0.46%","较前30日","0.00%","33.57","","","","","较前30日","0.00%"
"mochila táctica","Tactical backpack","N","9,175.00","较前30日","0.00%","39,532.00","较前30日","0.00%","33.25%","较前30日","0.00%","0.40%","较前30日","0.00%","17.95","","","","","较前30日","0.00%"
"bike electric","bike electric","N","9,045.00","较前30日","12.15%","39,524.00","较前30日","7.48%","24.99%","较前30日","-5.09%","29.16","","","0.07%","","","较前30日","600.00%","",""
"potencia mtb","Mtb power","N","8,537.00","较前30日","2.62%","39,513.00","较前30日","3.93%","36.03%","","","21.39","较前30日","0.61%","0.62%","较前30日","0.41%","较前30日","55.00%","",""
"gimnasio","Gym","N","7,114.00","较前30日","3.41%","39,458.00","较前30日","-6.38%","19.41%","较前30日","-10.93%","0.34%","较前30日","-12.82%","27.83","较前30日","-8.82%","","","",""
"magene c606","magne c606","N","15,306.00","较前30日","1.37%","39,311.00","较前30日","0.56%","30.89%","较前30日","-9.65%","0.18%","较前30日","-12.09%","5.92","较前30日","-18.18%","","","",""
"supervivencia accesorios","survival accessories","N","4,572.00","较前30日","6.45%","39,284.00","较前30日","3.95%","24.99%","较前30日","-14.46%","35.91","较前30日","3.01%","0.43%","","","较前30日","53.57%","",""
"guitarra elétrica","Guitar electric","N","7,121.00","较前30日","0.00%","39,241.00","较前30日","0.00%","26.62%","较前30日","0.00%","0.02%","较前30日","0.00%","20.08","","","","","较前30日","0.00%"
"peche à la carpe","carp fishing","N","4,136.00","较前30日","0.00%","39,195.00","较前30日","0.00%","18.75%","较前30日","0.00%","0.82%","较前30日","0.00%","50.61","","","","","较前30日","0.00%"
"linterna","Torch","N","15,852.00","较前30日","2.24%","39,183.00","较前30日","14.81%","15.98%","较前30日","-7.47%","0.62%","较前30日","-9.10%","2.06","较前30日","-6.43%","","","",""
"swimbait","swimbait","N","6,127.00","较前30日","6.48%","39,102.00","较前30日","0.27%","34.67%","较前30日","-8.93%","1.05%","较前30日","-6.22%","55.28","较前30日","-13.22%","","","",""
"accesorios moto","Motorcycle accessories","N","15,360.00","较前30日","1.62%","10.62%","","","1.45","较前30日","-29.98%","","","","","较前30日","-4.92%","","","",""
"camping car","RV","N","4,440.00","较前30日","0.00%","39,071.00","较前30日","0.00%","16.73%","较前30日","0.00%","0.17%","较前30日","0.00%","31.32","","","","","较前30日","0.00%"
"thermal scope","thermal scope","N","8,732.00","较前30日","8.24%","39,067.00","较前30日","6.62%","25.48%","较前30日","-7.41%","14.46","","","0.11%","较前30日","-16.93%","较前30日","57.14%","",""
"hat","hat","Y","16,855.00","较前30日","8.06%","39,047.00","较前30日","13.06%","15.31%","较前30日","-1.86%","0.60%","较前30日","13.21%","1.88","较前30日","2.39%","","","",""
"exercise equipment","exercise equipment","N","6,055.00","较前30日","0.00%","39,005.00","较前30日","0.00%","20.06%","较前30日","0.00%","0.33%","较前30日","0.00%","50.25","","","","","较前30日","0.00%"
"navaja alta calidad","high quality knife","N","8,354.00","较前30日","2.73%","38,989.00","较前30日","-0.20%","19.82%","较前30日","-0.52%","0.18%","较前30日","-5.26%","7.45","较前30日","-5.75%","","","",""
"señuelos de pesca spinning","spinning fishing lures","N","6,188.00","较前30日","8.33%","38,950.00","较前30日","7.81%","31.18%","较前30日","-3.51%","38.43","较前30日","3.86%","","","","","","",""
"casquettes hommes","men's caps","N","12,133.00","较前30日","2.14%","38,826.00","较前30日","5.20%","13.37%","较前30日","-10.07%","0.36%","较前30日","-25.00%","3.31","较前30日","-11.57%","","","",""
"musculation","Bodybuilding","Y","6,496.00","较前30日","1.83%","38,822.00","较前30日","2.94%","19.98%","较前30日","-3.62%","0.35%","较前30日","0.99%","28.50","较前30日","-1.11%","","","",""
"접이식의자","Foldable chair","N","8,667.00","较前30日","0.00%","38,791.00","较前30日","0.00%","19.88%","较前30日","0.00%","0.59%","较前30日","0.00%","4.25","","","","","较前30日","0.00%"
"キャンプ","camp","N","4,542.00","较前30日","3.35%","38,780.00","","","20.58%","较前30日","-10.01%","42.92","较前30日","-3.97%","0.17%","较前30日","-12.80%","较前30日","41.67%","",""
"accesorios para bicicletas","Bicycle accessories","N","4,823.00","较前30日","9.57%","38,772.00","","","24.72%","较前30日","-2.39%","61.11","较前30日","-0.13%","0.35%","较前30日","-10.79%","较前30日","59.09%","",""
